Starting point,Destination,Number
"East Windsor town (Hartford, CT)","Farmington town (Hartford, CT)",129
"East Windsor town (Hartford, CT)","West Hartford town (Hartford, CT)",120
"East Windsor town (Hartford, CT)","Vernon town (Tolland, CT)",114
"East Windsor town (Hartford, CT)","Glastonbury town (Hartford, CT)",90
"East Windsor town (Hartford, CT)","Newington town (Hartford, CT)",61
"East Windsor town (Hartford, CT)","East Granby town (Hartford, CT)",60
"East Windsor town (Hartford, CT)","Simsbury town (Hartford, CT)",58
"East Windsor town (Hartford, CT)","Middletown town (Middlesex, CT)",55
"East Windsor town (Hartford, CT)","Ellington town (Tolland, CT)",54
"East Windsor town (Hartford, CT)","Rocky Hill town (Hartford, CT)",50
"East Windsor town (Hartford, CT)","Suffield town (Hartford, CT)",49
"East Windsor town (Hartford, CT)","Berlin town (Hartford, CT)",45
"East Windsor town (Hartford, CT)","New Britain town (Hartford, CT)",45
"East Windsor town (Hartford, CT)","Wethersfield town (Hartford, CT)",37
"East Windsor town (Hartford, CT)","Meriden town (New Haven, CT)",36
"East Windsor town (Hartford, CT)","Somers town (Tolland, CT)",36
"East Windsor town (Hartford, CT)","Tolland town (Tolland, CT)",34
"East Windsor town (Hartford, CT)","Waterbury town (New Haven, CT)",33
"East Windsor town (Hartford, CT)","Avon town (Hartford, CT)",32
"East Windsor town (Hartford, CT)","Stafford town (Tolland, CT)",32
"East Windsor town (Hartford, CT)","Bristol town (Hartford, CT)",30
"East Windsor town (Hartford, CT)","Wallingford town (New Haven, CT)",29
"East Windsor town (Hartford, CT)","Danbury town (Fairfield, CT)",28
"East Windsor town (Hartford, CT)","Mansfield town (Tolland, CT)",27
"East Windsor town (Hartford, CT)","Cromwell town (Middlesex, CT)",26
"East Windsor town (Hartford, CT)","New Haven town (New Haven, CT)",26
"East Windsor town (Hartford, CT)","Granby town (Hartford, CT)",25
"East Windsor town (Hartford, CT)","Plainville town (Hartford, CT)",22
"East Windsor town (Hartford, CT)","Southington town (Hartford, CT)",19
"East Windsor town (Hartford, CT)","Shelton town (Fairfield, CT)",17
"East Windsor town (Hartford, CT)","Torrington town (Litchfield, CT)",16
"East Windsor town (Hartford, CT)","North Haven town (New Haven, CT)",16
"East Windsor town (Hartford, CT)","Orange town (New Haven, CT)",15
"East Windsor town (Hartford, CT)","New London town (New London, CT)",15
"East Windsor town (Hartford, CT)","Bolton town (Tolland, CT)",15
"East Windsor town (Hartford, CT)","Waterford town (New London, CT)",14
"East Windsor town (Hartford, CT)","Hamden town (New Haven, CT)",12
"East Windsor town (Hartford, CT)","Milford town (New Haven, CT)",12
"East Windsor town (Hartford, CT)","Columbia town (Tolland, CT)",12
"East Windsor town (Hartford, CT)","Trumbull town (Fairfield, CT)",11
"East Windsor town (Hartford, CT)","New Hartford town (Litchfield, CT)",10
"East Windsor town (Hartford, CT)",All Other Locations,206
"Ellington town (Tolland, CT)","Hartford town (Hartford, CT)",1054
"Ellington town (Tolland, CT)","Ellington town (Tolland, CT)",816
"Ellington town (Tolland, CT)","Manchester town (Hartford, CT)",584
"Ellington town (Tolland, CT)","Vernon town (Tolland, CT)",550
"Ellington town (Tolland, CT)","East Hartford town (Hartford, CT)",440
"Ellington town (Tolland, CT)","South Windsor town (Hartford, CT)",405
"Ellington town (Tolland, CT)","Windsor town (Hartford, CT)",356
"Ellington town (Tolland, CT)","Enfield town (Hartford, CT)",321
"Ellington town (Tolland, CT)","East Windsor town (Hartford, CT)",201
"Ellington town (Tolland, CT)","Tolland town (Tolland, CT)",195
"Ellington town (Tolland, CT)","Farmington town (Hartford, CT)",175
"Ellington town (Tolland, CT)","Bloomfield town (Hartford, CT)",165
"Ellington town (Tolland, CT)","Windsor Locks town (Hartford, CT)",164
"Ellington town (Tolland, CT)","Glastonbury town (Hartford, CT)",154
"Ellington town (Tolland, CT)","Mansfield town (Tolland, CT)",142
"Ellington town (Tolland, CT)","West Hartford town (Hartford, CT)",139
"Ellington town (Tolland, CT)","Stafford town (Tolland, CT)",139
"Ellington town (Tolland, CT)","Somers town (Tolland, CT)",85
"Ellington town (Tolland, CT)","Middletown town (Middlesex, CT)",76
"Ellington town (Tolland, CT)","Rocky Hill town (Hartford, CT)",67
"Ellington town (Tolland, CT)","Newington town (Hartford, CT)",66
"Ellington town (Tolland, CT)","Wethersfield town (Hartford, CT)",63
"Ellington town (Tolland, CT)","Simsbury town (Hartford, CT)",61
"Ellington town (Tolland, CT)","New Britain town (Hartford, CT)",58
"Ellington town (Tolland, CT)","Bolton town (Tolland, CT)",43
"Ellington town (Tolland, CT)","Windham town (Windham, CT)",41
"Ellington town (Tolland, CT)","Avon town (Hartford, CT)",40
"Ellington town (Tolland, CT)","Meriden town (New Haven, CT)",39
"Ellington town (Tolland, CT)","Berlin town (Hartford, CT)",36
"Ellington town (Tolland, CT)","East Granby town (Hartford, CT)",36
"Ellington town (Tolland, CT)","New Haven town (New Haven, CT)",36
"Ellington town (Tolland, CT)","Willington town (Tolland, CT)",32
"Ellington town (Tolland, CT)","Cromwell town (Middlesex, CT)",31
"Ellington town (Tolland, CT)","Suffield town (Hartford, CT)",30
"Ellington town (Tolland, CT)","Norwich town (New London, CT)",30
"Ellington town (Tolland, CT)","North Haven town (New Haven, CT)",29
"Ellington town (Tolland, CT)","Bristol town (Hartford, CT)",28
"Ellington town (Tolland, CT)","Wallingford town (New Haven, CT)",28
"Ellington town (Tolland, CT)","Waterbury town (New Haven, CT)",27
"Ellington town (Tolland, CT)","Cheshire town (New Haven, CT)",25
"Ellington town (Tolland, CT)","Milford town (New Haven, CT)",24
"Ellington town (Tolland, CT)","Southington town (Hartford, CT)",22
"Ellington town (Tolland, CT)","Coventry town (Tolland, CT)",22
"Ellington town (Tolland, CT)","Killingly town (Windham, CT)",19
"Ellington town (Tolland, CT)","Montville town (New London, CT)",18
"Ellington town (Tolland, CT)","New London town (New London, CT)",18
"Ellington town (Tolland, CT)","Waterford town (New London, CT)",18
"Ellington town (Tolland, CT)","Shelton town (Fairfield, CT)",15
"Ellington town (Tolland, CT)","Branford town (New Haven, CT)",15
"Ellington town (Tolland, CT)","Groton town (New London, CT)",15
"Ellington town (Tolland, CT)",All Other Locations,281
"Enfield town (Hartford, CT)","Enfield town (Hartford, CT)",4600
"Enfield town (Hartford, CT)","Hartford town (Hartford, CT)",2252
"Enfield town (Hartford, CT)","Windsor town (Hartford, CT)",1617
"Enfield town (Hartford, CT)","East Windsor town (Hartford, CT)",908
"Enfield town (Hartford, CT)","Windsor Locks town (Hartford, CT)",751
"Enfield town (Hartford, CT)","Manchester town (Hartford, CT)",702
"Enfield town (Hartford, CT)","Bloomfield town (Hartford, CT)",642
"Enfield town (Hartford, CT)","East Hartford town (Hartford, CT)",615
"Enfield town (Hartford, CT)","South Windsor town (Hartford, CT)",541
"Enfield town (Hartford, CT)","Farmington town (Hartford, CT)",442
"Enfield town (Hartford, CT)","West Hartford town (Hartford, CT)",357
"Enfield town (Hartford, CT)","Suffield town (Hartford, CT)",328
"Enfield town (Hartford, CT)","Vernon town (Tolland, CT)",302
"Enfield town (Hartford, CT)","Stafford town (Tolland, CT)",271
"Enfield town (Hartford, CT)","Glastonbury town (Hartford, CT)",260
"Enfield town (Hartford, CT)","East Granby town (Hartford, CT)",222
"Enfield town (Hartford, CT)","Newington town (Hartford, CT)",218
"Enfield town (Hartford, CT)","Somers town (Tolland, CT)",214
"Enfield town (Hartford, CT)","Simsbury town (Hartford, CT)",206
"Enfield town (Hartford, CT)","Rocky Hill town (Hartford, CT)",198
"Enfield town (Hartford, CT)","New Britain town (Hartford, CT)",191
"Enfield town (Hartford, CT)","Middletown town (Middlesex, CT)",162
"Enfield town (Hartford, CT)","Ellington town (Tolland, CT)",139
"Enfield town (Hartford, CT)","Berlin town (Hartford, CT)",137
"Enfield town (Hartford, CT)","Bristol town (Hartford, CT)",127
"Enfield town (Hartford, CT)","Waterbury town (New Haven, CT)",125
"Enfield town (Hartford, CT)","Wallingford town (New Haven, CT)",123
"Enfield town (Hartford, CT)","Meriden town (New Haven, CT)",122
"Enfield town (Hartford, CT)","New Haven town (New Haven, CT)",117
"Enfield town (Hartford, CT)","Avon town (Hartford, CT)",111
"Enfield town (Hartford, CT)","Tolland town (Tolland, CT)",106
"Enfield town (Hartford, CT)","Danbury town (Fairfield, CT)",104
"Enfield town (Hartford, CT)","Plainville town (Hartford, CT)",97
"Enfield town (Hartford, CT)","Wethersfield town (Hartford, CT)",93
"Enfield town (Hartford, CT)","North Haven town (New Haven, CT)",84
"Enfield town (Hartford, CT)","Mansfield town (Tolland, CT)",84
"Enfield town (Hartford, CT)","Southington town (Hartford, CT)",76
"Enfield town (Hartford, CT)","Cheshire town (New Haven, CT)",68
"Enfield town (Hartford, CT)","Milford town (New Haven, CT)",60
"Enfield town (Hartford, CT)","Torrington town (Litchfield, CT)",58
"Enfield town (Hartford, CT)","Cromwell town (Middlesex, CT)",57
"Enfield town (Hartford, CT)","Norwich town (New London, CT)",53
"Enfield town (Hartford, CT)","Hamden town (New Haven, CT)",50
"Enfield town (Hartford, CT)","Waterford town (New London, CT)",50
"Enfield town (Hartford, CT)","Trumbull town (Fairfield, CT)",48
"Enfield town (Hartford, CT)","Shelton town (Fairfield, CT)",43
"Enfield town (Hartford, CT)","Granby town (Hartford, CT)",43
"Enfield town (Hartford, CT)","Windham town (Windham, CT)",42
"Enfield town (Hartford, CT)","New London town (New London, CT)",40
"Enfield town (Hartford, CT)","Orange town (New Haven, CT)",37
"Enfield town (Hartford, CT)",All Other Locations,745
"Farmington town (Hartford, CT)","Farmington town (Hartford, CT)",2390
"Farmington town (Hartford, CT)","Hartford town (Hartford, CT)",1918
"Farmington town (Hartford, CT)","New Britain town (Hartford, CT)",751
"Farmington town (Hartford, CT)","West Hartford town (Hartford, CT)",669
"Farmington town (Hartford, CT)","Bristol town (Hartford, CT)",607
"Farmington town (Hartford, CT)","Avon town (Hartford, CT)",380
"Farmington town (Hartford, CT)","Plainville town (Hartford, CT)",362
"Farmington town (Hartford, CT)","Simsbury town (Hartford, CT)",316
"Farmington town (Hartford, CT)","East Hartford town (Hartford, CT)",295
"Farmington town (Hartford, CT)","Bloomfield town (Hartford, CT)",282
"Farmington town (Hartford, CT)","Windsor town (Hartford, CT)",243
"Farmington town (Hartford, CT)","Newington town (Hartford, CT)",230
"Farmington town (Hartford, CT)","Southington town (Hartford, CT)",198
"Farmington town (Hartford, CT)","Glastonbury town (Hartford, CT)",177
"Farmington town (Hartford, CT)","Middletown town (Middlesex, CT)",177
"Farmington town (Hartford, CT)","Manchester town (Hartford, CT)",174
"Farmington town (Hartford, CT)","Berlin town (Hartford, CT)",169
"Farmington town (Hartford, CT)","Rocky Hill town (Hartford, CT)",151
"Farmington town (Hartford, CT)","Canton town (Hartford, CT)",134
"Farmington town (Hartford, CT)","Meriden town (New Haven, CT)",108
"Farmington town (Hartford, CT)","New Haven town (New Haven, CT)",107
"Farmington town (Hartford, CT)","Wethersfield town (Hartford, CT)",98
"Farmington town (Hartford, CT)","Torrington town (Litchfield, CT)",96
"Farmington town (Hartford, CT)","Waterbury town (New Haven, CT)",95
"Farmington town (Hartford, CT)","Enfield town (Hartford, CT)",94
"Farmington town (Hartford, CT)","Cheshire town (New Haven, CT)",70
"Farmington town (Hartford, CT)","Wallingford town (New Haven, CT)",69
"Farmington town (Hartford, CT)","Mansfield town (Tolland, CT)",59
"Farmington town (Hartford, CT)","Cromwell town (Middlesex, CT)",58
"Farmington town (Hartford, CT)","South Windsor town (Hartford, CT)",56
"Farmington town (Hartford, CT)","Danbury town (Fairfield, CT)",55
"Farmington town (Hartford, CT)","Vernon town (Tolland, CT)",55
"Farmington town (Hartford, CT)","Windsor Locks town (Hartford, CT)",38
"Farmington town (Hartford, CT)","Hamden town (New Haven, CT)",37
"Farmington town (Hartford, CT)","Burlington town (Hartford, CT)",36
"Farmington town (Hartford, CT)","North Haven town (New Haven, CT)",34
"Farmington town (Hartford, CT)","Shelton town (Fairfield, CT)",31
"Farmington town (Hartford, CT)","Trumbull town (Fairfield, CT)",24
"Farmington town (Hartford, CT)","East Granby town (Hartford, CT)",24
"Farmington town (Hartford, CT)","East Windsor town (Hartford, CT)",23
"Farmington town (Hartford, CT)","Stratford town (Fairfield, CT)",21
"Farmington town (Hartford, CT)","Winchester town (Litchfield, CT)",20
"Farmington town (Hartford, CT)","Milford town (New Haven, CT)",19
"Farmington town (Hartford, CT)","Suffield town (Hartford, CT)",17
"Farmington town (Hartford, CT)","Litchfield town (Litchfield, CT)",17
"Farmington town (Hartford, CT)","Plymouth town (Litchfield, CT)",17
"Farmington town (Hartford, CT)","Orange town (New Haven, CT)",17
"Farmington town (Hartford, CT)","Granby town (Hartford, CT)",16
"Farmington town (Hartford, CT)","New London town (New London, CT)",16
"Farmington town (Hartford, CT)","Southbury town (New Haven, CT)",15
"Farmington town (Hartford, CT)",All Other Locations,416
"Glastonbury town (Hartford, CT)","Hartford town (Hartford, CT)",3392
"Glastonbury town (Hartford, CT)","Glastonbury town (Hartford, CT)",2795
"Glastonbury town (Hartford, CT)","East Hartford town (Hartford, CT)",1155
"Glastonbury town (Hartford, CT)","Manchester town (Hartford, CT)",731
"Glastonbury town (Hartford, CT)","Farmington town (Hartford, CT)",529
"Glastonbury town (Hartford, CT)","West Hartford town (Hartford, CT)",464
"Glastonbury town (Hartford, CT)","Middletown town (Middlesex, CT)",441
"Glastonbury town (Hartford, CT)","Windsor town (Hartford, CT)",438
"Glastonbury town (Hartford, CT)","Rocky Hill town (Hartford, CT)",373
"Glastonbury town (Hartford, CT)","Bloomfield town (Hartford, CT)",284
"Glastonbury town (Hartford, CT)","New Britain town (Hartford, CT)",274
"Glastonbury town (Hartford, CT)","Newington town (Hartford, CT)",271
"Glastonbury town (Hartford, CT)","Wallingford town (New Haven, CT)",236
"Glastonbury town (Hartford, CT)","South Windsor town (Hartford, CT)",232
"Glastonbury town (Hartford, CT)","Wethersfield town (Hartford, CT)",225
"Glastonbury town (Hartford, CT)","Westport town (Fairfield, CT)",219
"Glastonbury town (Hartford, CT)","Stamford town (Fairfield, CT)",215
"Glastonbury town (Hartford, CT)","New Haven town (New Haven, CT)",211
"Glastonbury town (Hartford, CT)","Meriden town (New Haven, CT)",199
"Glastonbury town (Hartford, CT)","Berlin town (Hartford, CT)",162
"Glastonbury town (Hartford, CT)","Simsbury town (Hartford, CT)",152
"Glastonbury town (Hartford, CT)","Danbury town (Fairfield, CT)",147
"Glastonbury town (Hartford, CT)","Vernon town (Tolland, CT)",146
"Glastonbury town (Hartford, CT)","Enfield town (Hartford, CT)",137
"Glastonbury town (Hartford, CT)","Waterbury town (New Haven, CT)",134
"Glastonbury town (Hartford, CT)","Manhattan borough (New York, NY)",128
"Glastonbury town (Hartford, CT)","Bristol town (Hartford, CT)",125
"Glastonbury town (Hartford, CT)","Norwalk town (Fairfield, CT)",124
"Glastonbury town (Hartford, CT)","Bridgeport town (Fairfield, CT)",121
"Glastonbury town (Hartford, CT)","Cromwell town (Middlesex, CT)",111
"Glastonbury town (Hartford, CT)","Cheshire town (New Haven, CT)",107
"Glastonbury town (Hartford, CT)","Avon town (Hartford, CT)",102
"Glastonbury town (Hartford, CT)","Mansfield town (Tolland, CT)",101
"Glastonbury town (Hartford, CT)","North Haven town (New Haven, CT)",92
"Glastonbury town (Hartford, CT)","Southington town (Hartford, CT)",87
"Glastonbury town (Hartford, CT)","Fairfield town (Fairfield, CT)",86
"Glastonbury town (Hartford, CT)","Milford town (New Haven, CT)",80
"Glastonbury town (Hartford, CT)","Trumbull town (Fairfield, CT)",78
"Glastonbury town (Hartford, CT)","Stratford town (Fairfield, CT)",77
"Glastonbury town (Hartford, CT)","Windsor Locks town (Hartford, CT)",66
"Glastonbury town (Hartford, CT)","Hebron town (Tolland, CT)",64
"Glastonbury town (Hartford, CT)","Greenwich town (Fairfield, CT)",63
"Glastonbury town (Hartford, CT)","Plainville town (Hartford, CT)",63
"Glastonbury town (Hartford, CT)","Norwich town (New London, CT)",60
"Glastonbury town (Hartford, CT)","Windham town (Windham, CT)",60
"Glastonbury town (Hartford, CT)","Hamden town (New Haven, CT)",57
"Glastonbury town (Hartford, CT)","East Windsor town (Hartford, CT)",55
"Glastonbury town (Hartford, CT)","Colchester town (New London, CT)",52
"Glastonbury town (Hartford, CT)","Portland town (Middlesex, CT)",50
"Glastonbury town (Hartford, CT)","Tolland town (Tolland, CT)",50
"Glastonbury town (Hartford, CT)",All Other Locations,1982
"Granby town (Hartford, CT)","Hartford town (Hartford, CT)",811
"Granby town (Hartford, CT)","Granby town (Hartford, CT)",554
"Granby town (Hartford, CT)","Simsbury town (Hartford, CT)",455
"Granby town (Hartford, CT)","Windsor town (Hartford, CT)",429
"Granby town (Hartford, CT)","Bloomfield town (Hartford, CT)",323
"Granby town (Hartford, CT)","West Hartford town (Hartford, CT)",184
"Granby town (Hartford, CT)","East Granby town (Hartford, CT)",182
"Granby town (Hartford, CT)","Farmington town (Hartford, CT)",175
"Granby town (Hartford, CT)","East Hartford town (Hartford, CT)",138
"Granby town (Hartford, CT)","Windsor Locks town (Hartford, CT)",138
"Granby town (Hartford, CT)","Avon town (Hartford, CT)",123
"Granby town (Hartford, CT)","Enfield town (Hartford, CT)",107
"Granby town (Hartford, CT)","Stamford town (Fairfield, CT)",93
"Granby town (Hartford, CT)","South Windsor town (Hartford, CT)",76
"Granby town (Hartford, CT)","Norwalk town (Fairfield, CT)",68
"Granby town (Hartford, CT)","Manchester town (Hartford, CT)",68
"Granby town (Hartford, CT)","New Britain town (Hartford, CT)",64
"Granby town (Hartford, CT)","Middletown town (Middlesex, CT)",63
"Granby town (Hartford, CT)","Canton town (Hartford, CT)",62
"Granby town (Hartford, CT)","Manhattan borough (New York, NY)",53
"Granby town (Hartford, CT)","East Windsor town (Hartford, CT)",45
"Granby town (Hartford, CT)","Glastonbury town (Hartford, CT)",44
"Granby town (Hartford, CT)","Suffield town (Hartford, CT)",44
"Granby town (Hartford, CT)","Newington town (Hartford, CT)",41
"Granby town (Hartford, CT)","Rocky Hill town (Hartford, CT)",38
"Granby town (Hartford, CT)","Meriden town (New Haven, CT)",38
"Granby town (Hartford, CT)","Fairfield town (Fairfield, CT)",37
"Granby town (Hartford, CT)","Wallingford town (New Haven, CT)",37
"Granby town (Hartford, CT)","Vernon town (Tolland, CT)",34
"Granby town (Hartford, CT)","Bridgeport town (Fairfield, CT)",31
"Granby town (Hartford, CT)","Milford town (New Haven, CT)",30
"Granby town (Hartford, CT)","Waterbury town (New Haven, CT)",29
"Granby town (Hartford, CT)","Greenwich town (Fairfield, CT)",28
"Granby town (Hartford, CT)","Westport town (Fairfield, CT)",27
"Granby town (Hartford, CT)","Danbury town (Fairfield, CT)",26
"Granby town (Hartford, CT)","Stratford town (Fairfield, CT)",26
"Granby town (Hartford, CT)","Plainville town (Hartford, CT)",26
"Granby town (Hartford, CT)","Winchester town (Litchfield, CT)",26
"Granby town (Hartford, CT)","Berlin town (Hartford, CT)",24
"Granby town (Hartford, CT)","New Haven town (New Haven, CT)",24
"Granby town (Hartford, CT)","Wethersfield town (Hartford, CT)",23
"Granby town (Hartford, CT)","New Hartford town (Litchfield, CT)",22
"Granby town (Hartford, CT)","Bristol town (Hartford, CT)",21
"Granby town (Hartford, CT)","Southington town (Hartford, CT)",20
"Granby town (Hartford, CT)","North Haven town (New Haven, CT)",20
"Granby town (Hartford, CT)","Mansfield town (Tolland, CT)",19
"Granby town (Hartford, CT)","Shelton town (Fairfield, CT)",18
"Granby town (Hartford, CT)","Tolland town (Tolland, CT)",18
"Granby town (Hartford, CT)","Torrington town (Litchfield, CT)",12
"Granby town (Hartford, CT)","Cheshire town (New Haven, CT)",11
"Granby town (Hartford, CT)",All Other Locations,567
"Hebron town (Tolland, CT)","Hartford town (Hartford, CT)",778
"Hebron town (Tolland, CT)","Hebron town (Tolland, CT)",404
"Hebron town (Tolland, CT)","East Hartford town (Hartford, CT)",329
"Hebron town (Tolland, CT)","Glastonbury town (Hartford, CT)",309
"Hebron town (Tolland, CT)","Manchester town (Hartford, CT)",267
"Hebron town (Tolland, CT)","Middletown town (Middlesex, CT)",127
"Hebron town (Tolland, CT)","Windham town (Windham, CT)",121
"Hebron town (Tolland, CT)","Mansfield town (Tolland, CT)",108
"Hebron town (Tolland, CT)","Newington town (Hartford, CT)",100
"Hebron town (Tolland, CT)","Windsor town (Hartford, CT)",99
"Hebron town (Tolland, CT)","Colchester town (New London, CT)",97
"Hebron town (Tolland, CT)","Bloomfield town (Hartford, CT)",96
"Hebron town (Tolland, CT)","Farmington town (Hartford, CT)",94
"Hebron town (Tolland, CT)","South Windsor town (Hartford, CT)",92
"Hebron town (Tolland, CT)","Norwich town (New London, CT)",91
"Hebron town (Tolland, CT)","Rocky Hill town (Hartford, CT)",88
"Hebron town (Tolland, CT)","West Hartford town (Hartford, CT)",80
"Hebron town (Tolland, CT)","Stamford town (Fairfield, CT)",76
"Hebron town (Tolland, CT)","Danbury town (Fairfield, CT)",63
"Hebron town (Tolland, CT)","Vernon town (Tolland, CT)",54
"Hebron town (Tolland, CT)","Marlborough town (Hartford, CT)",51
"Hebron town (Tolland, CT)","Norwalk town (Fairfield, CT)",49
"Hebron town (Tolland, CT)","Enfield town (Hartford, CT)",47
"Hebron town (Tolland, CT)","Manhattan borough (New York, NY)",43
"Hebron town (Tolland, CT)","Wethersfield town (Hartford, CT)",40
"Hebron town (Tolland, CT)","Stratford town (Fairfield, CT)",38
"Hebron town (Tolland, CT)","New Britain town (Hartford, CT)",37
"Hebron town (Tolland, CT)","Bridgeport town (Fairfield, CT)",34
"Hebron town (Tolland, CT)","East Hampton town (Middlesex, CT)",33
"Hebron town (Tolland, CT)","Bolton town (Tolland, CT)",33
"Hebron town (Tolland, CT)","Berlin town (Hartford, CT)",32
"Hebron town (Tolland, CT)","Trumbull town (Fairfield, CT)",30
"Hebron town (Tolland, CT)","Milford town (New Haven, CT)",29
"Hebron town (Tolland, CT)","New Haven town (New Haven, CT)",29
"Hebron town (Tolland, CT)","Columbia town (Tolland, CT)",29
"Hebron town (Tolland, CT)","Fairfield town (Fairfield, CT)",28
"Hebron town (Tolland, CT)","Avon town (Hartford, CT)",26
"Hebron town (Tolland, CT)","Wallingford town (New Haven, CT)",26
"Hebron town (Tolland, CT)","Lebanon town (New London, CT)",26
"Hebron town (Tolland, CT)","Windsor Locks town (Hartford, CT)",23
"Hebron town (Tolland, CT)","Meriden town (New Haven, CT)",23
"Hebron town (Tolland, CT)","Waterbury town (New Haven, CT)",22
"Hebron town (Tolland, CT)","Killingly town (Windham, CT)",22
"Hebron town (Tolland, CT)","Greenwich town (Fairfield, CT)",21
"Hebron town (Tolland, CT)","Bristol town (Hartford, CT)",21
"Hebron town (Tolland, CT)","Plainville town (Hartford, CT)",21
"Hebron town (Tolland, CT)","Putnam town (Windham, CT)",20
"Hebron town (Tolland, CT)","Westport town (Fairfield, CT)",18
"Hebron town (Tolland, CT)","East Windsor town (Hartford, CT)",18
"Hebron town (Tolland, CT)","Montville town (New London, CT)",18
"Hebron town (Tolland, CT)",All Other Locations,669
"Manchester town (Hartford, CT)","Manchester town (Hartford, CT)",5735
"Manchester town (Hartford, CT)","Hartford town (Hartford, CT)",5223
"Manchester town (Hartford, CT)","East Hartford town (Hartford, CT)",1984
"Manchester town (Hartford, CT)","Glastonbury town (Hartford, CT)",1069
"Manchester town (Hartford, CT)","Windsor town (Hartford, CT)",991
"Manchester town (Hartford, CT)","South Windsor town (Hartford, CT)",967
"Manchester town (Hartford, CT)","Vernon town (Tolland, CT)",947
"Manchester town (Hartford, CT)","Farmington town (Hartford, CT)",830
"Manchester town (Hartford, CT)","West Hartford town (Hartford, CT)",748
"Manchester town (Hartford, CT)","Bloomfield town (Hartford, CT)",697
"Manchester town (Hartford, CT)","Newington town (Hartford, CT)",486
"Manchester town (Hartford, CT)","Rocky Hill town (Hartford, CT)",457
"Manchester town (Hartford, CT)","Middletown town (Middlesex, CT)",444
"Manchester town (Hartford, CT)","Enfield town (Hartford, CT)",420
"Manchester town (Hartford, CT)","New Britain town (Hartford, CT)",378
"Manchester town (Hartford, CT)","Wethersfield town (Hartford, CT)",340
"Manchester town (Hartford, CT)","East Windsor town (Hartford, CT)",297
"Manchester town (Hartford, CT)","Windsor Locks town (Hartford, CT)",263
"Manchester town (Hartford, CT)","New Haven town (New Haven, CT)",263
"Manchester town (Hartford, CT)","Meriden town (New Haven, CT)",254
"Manchester town (Hartford, CT)","Tolland town (Tolland, CT)",242
"Manchester town (Hartford, CT)","Berlin town (Hartford, CT)",237
"Manchester town (Hartford, CT)","Mansfield town (Tolland, CT)",228
"Manchester town (Hartford, CT)","Simsbury town (Hartford, CT)",205
"Manchester town (Hartford, CT)","Wallingford town (New Haven, CT)",184
"Manchester town (Hartford, CT)","Bolton town (Tolland, CT)",178
"Manchester town (Hartford, CT)","Waterbury town (New Haven, CT)",172
"Manchester town (Hartford, CT)","Bristol town (Hartford, CT)",171
"Manchester town (Hartford, CT)","Avon town (Hartford, CT)",167
"Manchester town (Hartford, CT)","Cromwell town (Middlesex, CT)",167
"Manchester town (Hartford, CT)","Windham town (Windham, CT)",156
"Manchester town (Hartford, CT)","Cheshire town (New Haven, CT)",123
"Manchester town (Hartford, CT)","Southington town (Hartford, CT)",116
"Manchester town (Hartford, CT)","Plainville town (Hartford, CT)",106
"Manchester town (Hartford, CT)","Ellington town (Tolland, CT)",104
"Manchester town (Hartford, CT)","East Granby town (Hartford, CT)",94
"Manchester town (Hartford, CT)","Coventry town (Tolland, CT)",93
"Manchester town (Hartford, CT)","North Haven town (New Haven, CT)",92
"Manchester town (Hartford, CT)","Milford town (New Haven, CT)",89
"Manchester town (Hartford, CT)","Norwich town (New London, CT)",89
"Manchester town (Hartford, CT)","Orange town (New Haven, CT)",87
"Manchester town (Hartford, CT)","Suffield town (Hartford, CT)",79
"Manchester town (Hartford, CT)","Hamden town (New Haven, CT)",78
"Manchester town (Hartford, CT)","Shelton town (Fairfield, CT)",77
"Manchester town (Hartford, CT)","Waterford town (New London, CT)",77
"Manchester town (Hartford, CT)","Torrington town (Litchfield, CT)",68
