District ID,District Name,School ID,School Name,Domain,School Year,Number of Students Tested,level1,level2,level3
62,Hamden School District,1,Shepherd Glen School,Creative / Aesthetic,2010-11,64,32.8,28.1,39.1
62,Hamden School District,10,Spring Glen School,Creative / Aesthetic,2010-11,65,9.2,27.7,63.1
62,Hamden School District,14,West Woods School,Creative / Aesthetic,2010-11,69,14.5,53.6,31.9
63,Hampton School District,1,Hampton Elementary School,Creative / Aesthetic,2010-11,13,0,46.2,53.8
65,Hartland School District,1,Hartland School,Creative / Aesthetic,2010-11,22,0,9.1,90.9
67,Hebron School District,2,Gilead Hill School,Creative / Aesthetic,2010-11,110,4.5,42.7,52.7
286,Highville Charter School District,1,Highville Charter School,Creative / Aesthetic,2010-11,33,9.1,12.1,78.8
264,Integrated Day Charter School District,1,Integrated Day Charter School,Creative / Aesthetic,2010-11,34,5.9,38.2,55.9
261,Jumoke Academy District,1,Jumoke Academy,Creative / Aesthetic,2010-11,43,2.3,46.5,51.2
68,Kent School District,1,Kent Center School,Creative / Aesthetic,2010-11,33,9.1,6.1,84.8
69,Killingly School District,1,Killingly Central School,Creative / Aesthetic,2010-11,88,27.3,40.9,31.8
69,Killingly School District,3,Killingly Memorial School,Creative / Aesthetic,2010-11,106,8.5,59.4,32.1
245,Learn,1,Multicultural Magnet School,Creative / Aesthetic,2010-11,97,24.7,45.4,29.9
245,Learn,2,The Friendship School,Creative / Aesthetic,2010-11,143,4.9,21,74.1
71,Lebanon School District,1,Lebanon Elementary School,Creative / Aesthetic,2010-11,24,0,20.8,79.2
72,Ledyard School District,2,Gales Ferry School,Creative / Aesthetic,2010-11,64,9.4,76.6,14.1
72,Ledyard School District,4,Gallup Hill School,Creative / Aesthetic,2010-11,36,5.6,41.7,52.8
72,Ledyard School District,1,Ledyard Center School,Creative / Aesthetic,2010-11,62,0,30.6,69.4
73,Lisbon School District,1,Lisbon Central School,Creative / Aesthetic,2010-11,41,17.1,22,61
74,Litchfield School District,2,Center School,Creative / Aesthetic,2010-11,76,9.2,64.5,26.3
76,Madison School District,1,J. Milton Jeffrey Elementary School,Creative / Aesthetic,2010-11,135,0.7,39.3,60
77,Manchester School District,1,Bowers School,Creative / Aesthetic,2010-11,73,26,74,0
77,Manchester School District,3,Buckley School,Creative / Aesthetic,2010-11,63,25.4,44.4,30.2
77,Manchester School District,4,Highland Park School,Creative / Aesthetic,2010-11,46,32.6,32.6,34.8
77,Manchester School District,6,Keeney School,Creative / Aesthetic,2010-11,50,28,52,20
77,Manchester School District,16,Martin School,Creative / Aesthetic,2010-11,41,12.2,68.3,19.5
77,Manchester School District,9,Nathan Hale School,Creative / Aesthetic,2010-11,48,37.5,52.1,10.4
77,Manchester School District,10,Robertson School,Creative / Aesthetic,2010-11,106,18.9,31.1,50
77,Manchester School District,12,Verplanck School,Creative / Aesthetic,2010-11,67,19.4,38.8,41.8
77,Manchester School District,13,Waddell School,Creative / Aesthetic,2010-11,59,20.3,78,1.7
77,Manchester School District,14,Washington School,Creative / Aesthetic,2010-11,57,12.3,70.2,17.5
78,Mansfield School District,4,Annie E. Vinton School,Creative / Aesthetic,2010-11,29,0,75.9,24.1
78,Mansfield School District,2,Dorothy C. Goodwin School,Creative / Aesthetic,2010-11,36,5.6,52.8,41.7
78,Mansfield School District,5,Southeast Elementary School,Creative / Aesthetic,2010-11,51,15.7,51,33.3
79,Marlborough School District,1,Elmer Thienes-Mary Hall Elementary School,Creative / Aesthetic,2010-11,83,3.6,32.5,63.9
80,Meriden School District,1,Benjamin Franklin School,Creative / Aesthetic,2010-11,60,21.7,46.7,31.7
80,Meriden School District,11,Casimir Pulaski School,Creative / Aesthetic,2010-11,119,5.9,41.2,52.9
80,Meriden School District,3,Hanover School,Creative / Aesthetic,2010-11,49,28.6,30.6,40.8
80,Meriden School District,4,Israel Putnam School,Creative / Aesthetic,2010-11,97,7.2,35.1,57.7
80,Meriden School District,5,John Barry School,Creative / Aesthetic,2010-11,79,20.3,43,36.7
80,Meriden School District,7,Nathan Hale School,Creative / Aesthetic,2010-11,86,37.2,48.8,14
80,Meriden School District,8,Roger Sherman School,Creative / Aesthetic,2010-11,68,5.9,29.4,64.7
80,Meriden School District,10,Thomas Hooker School,Creative / Aesthetic,2010-11,82,45.1,26.8,28
83,Middletown School District,2,Bielefield School,Creative / Aesthetic,2010-11,60,15,40,45
83,Middletown School District,5,Farm Hill School,Creative / Aesthetic,2010-11,61,16.4,54.1,29.5
83,Middletown School District,13,Lawrence School,Creative / Aesthetic,2010-11,58,31,67.2,1.7
83,Middletown School District,9,MacDonough School,Creative / Aesthetic,2010-11,39,38.5,46.2,15.4
83,Middletown School District,12,Moody School,Creative / Aesthetic,2010-11,52,13.5,48.1,38.5
83,Middletown School District,11,Snow School,Creative / Aesthetic,2010-11,30,20,30,50
83,Middletown School District,1,Spencer School,Creative / Aesthetic,2010-11,56,21.4,16.1,62.5
83,Middletown School District,14,Wesley School,Creative / Aesthetic,2010-11,40,2.5,47.5,50
84,Milford School District,19,J. F. Kennedy School,Creative / Aesthetic,2010-11,127,2.4,22.8,74.8
84,Milford School District,16,Live Oaks School,Creative / Aesthetic,2010-11,96,3.1,20.8,76
84,Milford School District,17,Mathewson School,Creative / Aesthetic,2010-11,131,3.1,26,71
84,Milford School District,8,Orange Avenue School,Creative / Aesthetic,2010-11,87,0,16.1,83.9
85,Monroe School District,5,Fawn Hollow Elementary School,Creative / Aesthetic,2010-11,75,4,84,12
85,Monroe School District,1,Monroe Elementary School,Creative / Aesthetic,2010-11,46,0,10.9,89.1
85,Monroe School District,3,Stepney Elementary School,Creative / Aesthetic,2010-11,73,11,74,15.1
86,Montville School District,7,Dr. Charles E. Murphy School,Creative / Aesthetic,2010-11,55,3.6,20,76.4
86,Montville School District,1,Mohegan School,Creative / Aesthetic,2010-11,67,1.5,22.4,76.1
86,Montville School District,5,Oakdale School,Creative / Aesthetic,2010-11,57,1.8,5.3,93
88,Naugatuck School District,8,Andrew Avenue School,Creative / Aesthetic,2010-11,44,2.3,29.5,68.2
88,Naugatuck School District,1,Central Avenue School,Creative / Aesthetic,2010-11,46,6.5,30.4,63
88,Naugatuck School District,5,Hop Brook Elementary School,Creative / Aesthetic,2010-11,60,13.3,60,26.7
88,Naugatuck School District,3,Maple Hill School,Creative / Aesthetic,2010-11,60,13.3,28.3,58.3
