District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
7,Berlin School District,51,Catherine M. McGee Middle School,2008-09,225,273.7,81.3,96.9
8,Bethany School District,1,Bethany Community School,2008-09,82,283.6,86.6,100
9,Bethel School District,51,Bethel Middle School,2008-09,211,287.9,88.6,96.7
11,Bloomfield School District,7,Carmen Arace Intermediate School,2008-09,153,248.1,49.7,85.6
12,Bolton School District,1,Bolton Center School,2008-09,67,280.3,77.6,89.6
13,Bozrah School District,1,Fields Memorial School,2008-09,24,253.1,54.2,87.5
14,Branford School District,51,Francis Walsh Intermediate School,2008-09,246,269,75.2,92.7
285,Bridgeport Achievement First,1,Achievement First Bridgeport Academy,2008-09,72,255.2,58.3,94.4
15,Bridgeport School District,1,Barnum School,2008-09,52,208.1,19.2,38.5
15,Bridgeport School District,2,Beardsley School,2008-09,35,237.9,51.4,80
15,Bridgeport School District,3,Black Rock School,2008-09,,,,
15,Bridgeport School District,40,Blackham School,2008-09,105,230.4,41,68.6
15,Bridgeport School District,4,Bryant School,2008-09,45,219.8,31.1,55.6
15,Bridgeport School District,14,Cesar Batalla School,2008-09,71,215.5,26.8,43.7
15,Bridgeport School District,21,Classical Studies Academy,2008-09,39,220.4,20.5,61.5
15,Bridgeport School District,5,Columbus School,2008-09,60,230.9,40,68.3
15,Bridgeport School District,39,Cross School,2008-09,,,,
15,Bridgeport School District,42,Curiale School,2008-09,68,222.1,23.5,61.8
15,Bridgeport School District,41,Dunbar School,2008-09,29,205.2,13.8,34.5
15,Bridgeport School District,7,Edison School,2008-09,27,240,44.4,81.5
15,Bridgeport School District,32,Geraldine Johnson School,2008-09,68,233.9,39.7,75
15,Bridgeport School District,11,Hall School,2008-09,26,243.2,46.2,80.8
15,Bridgeport School District,12,Hallen School,2008-09,39,222.6,23.1,64.1
15,Bridgeport School District,45,High Horizons Magnet School,2008-09,48,261.5,77.1,97.9
15,Bridgeport School District,13,Hooker School,2008-09,57,239.7,45.6,77.2
15,Bridgeport School District,22,Jettie S. Tisdale School,2008-09,36,228.4,41.7,52.8
15,Bridgeport School District,19,Longfellow School,2008-09,26,236.3,46.2,73.1
15,Bridgeport School District,10,Luis Munoz Marin School,2008-09,69,218,21.7,56.5
15,Bridgeport School District,20,Madison School,2008-09,41,238.4,48.8,78
15,Bridgeport School District,46,Multicultural Magnet School,2008-09,47,271.2,80.9,100
15,Bridgeport School District,17,Park City Magnet School,2008-09,50,265.7,74,96
15,Bridgeport School District,25,Read School,2008-09,93,221.3,30.1,60.2
15,Bridgeport School District,26,Roosevelt School,2008-09,58,204.8,17.2,41.4
