District ID,School ID,District Name,School Name,School Year,Number of Students Tested ,Standard CAPT Score Summary Average Scale Score,Standard CAPT Score Summary Percent at/above goal level,Standard CAPT Score Summary Percent at/above proficient level,Standard CAPT Results by Below Basic,Standard CAPT Results by Basic,Standard CAPT Results by Proficient,Standard CAPT Results by Goal,Standard CAPT Results by Advanced,Assessment Participation Standard CAPT ,Assessment Participation Skills Checklist ,Assessment Participation Modified Assessment,Assessment Participation ELL Exempt ,Assessment Participation No Valid Score ,Assessment Participation Total Participation ,Assessment Participation Absent 
156,61,West Haven School District,West Haven High School,2006-07,450,232.7,30.4,66.4,16.9,16.7,36,22.2,8.2,94.5,0.8,N/A,0.6,1.3,97.3,2.7
154,61,Westbrook School District,Westbrook High School,2006-07,70,256.8,55.7,91.4,4.3,4.3,35.7,38.6,17.1,97.2,1.4,N/A,0,1.4,100,0
157,61,Weston School District,Weston High School,2006-07,205,286,79,98.5,0,1.5,19.5,31.2,47.8,99.5,0,N/A,0,0,99.5,0.5
158,61,Westport School District,Staples High School,2006-07,428,292.1,85.7,96.5,1.9,1.6,10.7,27.8,57.9,99.5,0,N/A,0,0,99.5,0.5
159,61,Wethersfield School District,Wethersfield High School,2006-07,290,258.2,54.1,83.8,5.5,10.7,29.7,30.7,23.4,93.5,0.6,N/A,0,0.3,94.5,5.5
161,61,Wilton School District,Wilton High School,2006-07,326,291.4,85,96.6,0.9,2.5,11.7,31.6,53.4,97.6,1.8,N/A,0,0,99.4,0.6
162,61,Winchester School District,Joy D. Rice School,2006-07,,,,,,,,,,,,,,,,
163,90,Windham School District,Eastern Regional Academy/Windham,2006-07,,,,,,,,,,,,,,,,
163,61,Windham School District,Windham High School,2006-07,208,221.6,22.6,51.9,24.5,23.6,29.3,14.4,8.2,85.6,1.2,N/A,3.3,4.9,95.1,4.9
165,61,Windsor Locks School District,Windsor Locks High School,2006-07,151,249.2,45.7,80.8,9.3,9.9,35.1,30.5,15.2,96.8,0.6,N/A,0,1.3,98.7,1.3
164,61,Windsor School District,Windsor High School,2006-07,341,248.3,41.3,76.5,10.3,13.2,35.2,25.2,16.1,96.9,0.3,N/A,0.3,1.4,98.9,1.1
166,61,Wolcott School District,Wolcott High School,2006-07,243,256,46.5,88.1,2.9,9.1,41.6,28,18.5,98.4,0,N/A,0,0.8,99.2,0.8
903,61,Woodstock Academy,Woodstock Academy,2006-07,291,258.8,47.4,87.6,2.7,9.6,40.2,27.5,19.9,95.7,0,N/A,0,2.6,98.4,1.6
